model Id,total params,file size,flops,params from profile,metric
0,80720,332.093,15243510.0,80720.0,0.6624
1,11529354,46186.882,667985920.0,11529354.0,0.8916000000000001
2,6974346,28502.571,273725152.0,6974346.0,0.8772
3,13168010,52742.109,777037824.0,13168010.0,0.8812000000000001
4,12119434,48547.805,709928960.0,12119434.0,0.892
5,15217418,60943.833,772884480.0,15217418.0,0.8888
6,12119434,48548.118,709994496.0,12119434.0,0.9084
7,13595018,54452.792,814868480.0,13595018.0,0.9056
8,12267018,49139.053,751937536.0,12267018.0,0.9016
9,13758090,55103.345,819046400.0,13758090.0,0.9104000000000001
